,Country,Happiness Score_x_x,Economy (GDP)_x_x,Family (Social Support)_x_x,Freedom_x_x,Generosity_x_x,Year_x_x,Happiness Score_y_x,Economy (GDP)_y_x,Family (Social Support)_y_x,Freedom_y_x,Generosity_y_x,Year_y_x,Happiness Score_x_y,Economy (GDP)_x_y,Family (Social Support)_x_y,Freedom_x_y,Generosity_x_y,Generosity_x_y,Year_x_y,Happiness Score_y_y,Economy (GDP)_y_y,Family (Social Support)_y_y,Freedom_y_y,Generosity_y_y,Generosity_y_y,Year_y_y,Happiness Score,Economy (GDP),Family (Social Support),Freedom,Generosity,Year
0,Finland,7.632,1.305,1.592,0.681,0.202,2018,7.769,1.34,1.587,0.596,0.153,2019,7.808700085,1.285189509,1.499525905,0.66231674,-0.059482019,0.159670442,2020,7.842,1.446,1.106,0.691,-0.098,0.124,2021,7.821,"1,892","1,258",0.736,"0,109",2022
1,Norway,7.594,1.456,1.582,0.686,0.286,2018,7.554,1.488,1.582,0.603,0.271,2019,7.487999916,1.42420733,1.495172501,0.670200884,0.13453263,0.287985086,2020,7.392,1.543,1.108,0.703,0.093,0.249,2021,7.365,"1,997","1,239",0.728,"0,217",2022
2,Denmark,7.555,1.351,1.59,0.683,0.284,2018,7.6,1.383,1.573,0.592,0.252,2019,7.645599842,1.326948524,1.503449202,0.665039897,0.066201776,0.242793396,2020,7.62,1.502,1.108,0.686,0.03,0.208,2021,7.636,"1,953","1,243",0.719,"0,188",2022
3,Iceland,7.495,1.343,1.644,0.677,0.353,2018,7.494,1.38,1.624,0.591,0.354,2019,7.504499912,1.326501608,1.547567487,0.661980748,0.246944219,0.362330228,2020,7.554,1.482,1.172,0.698,0.16,0.293,2021,7.557,"1,936","1,320",0.718,"0,270",2022
4,Switzerland,7.487,1.42,1.549,0.66,0.256,2018,7.48,1.452,1.526,0.572,0.263,2019,7.559899807,1.39077425,1.472403407,0.62895447,0.105911039,0.269055754,2020,7.571,1.566,1.079,0.653,0.025,0.204,2021,7.512,"2,026","1,226",0.677,"0,147",2022
5,Netherlands,7.441,1.361,1.488,0.638,0.333,2018,7.488,1.396,1.522,0.557,0.322,2019,7.448900223,1.338946342,1.463645935,0.61362648,0.20761244,0.336317569,2020,7.464,1.501,1.079,0.647,0.175,0.302,2021,7.415,"1,945","1,206",0.651,"0,271",2022
6,Canada,7.328,1.33,1.532,0.653,0.321,2018,7.278,1.365,1.505,0.584,0.285,2019,7.23210001,1.301647663,1.435391903,0.644028127,0.124770768,0.28152892,2020,7.103,1.447,1.044,0.648,0.089,0.246,2021,7.025,"1,886","1,188",0.659,"0,217",2022
7,New Zealand,7.324,1.268,1.601,0.669,0.365,2018,7.307,1.303,1.557,0.585,0.33,2019,7.299600124,1.242317915,1.48721838,0.646789908,0.191598073,0.325726211,2020,7.277,1.4,1.094,0.665,0.134,0.276,2021,7.2,"1,852","1,235",0.68,"0,245",2022
8,Sweden,7.314,1.355,1.501,0.659,0.285,2018,7.343,1.387,1.487,0.574,0.267,2019,7.353499889,1.322235227,1.433347702,0.650297701,0.111614622,0.272827893,2020,7.363,1.478,1.062,0.685,0.086,0.244,2021,7.384,"1,920","1,204",0.724,"0,218",2022
9,Australia,7.272,1.34,1.573,0.647,0.361,2018,7.228,1.372,1.548,0.557,0.332,2019,7.222799778,1.310396433,1.477146268,0.621877193,0.19046016,0.324973613,2020,7.183,1.453,1.076,0.647,0.159,0.291,2021,7.162,"1,900","1,203",0.676,"0,258",2022
